Image,CD11c (Opal 520): Mean
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5434
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5099
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8393
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4383
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4407
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1229
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6962
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1231
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6096
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.4109
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.8841
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1672
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9328
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4394
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6708
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9636
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7666
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3751
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6561
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5466
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3398
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.9766
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2477
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5624
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.7548
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8094
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3477
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3296
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3853
